iter	Passed	Remaining
445	1189	1477
446	1191	1474
447	1195	1472
448	1198	1471
449	1201	1468
450	1204	1465
451	1206	1462
452	1209	1460
453	1212	1458
454	1214	1455
455	1218	1453
456	1220	1450
457	1223	1447
458	1225	1444
459	1228	1441
460	1231	1439
461	1233	1436
462	1235	1433
463	1238	1431
464	1241	1427
465	1243	1425
466	1247	1423
467	1249	1420
468	1252	1417
469	1254	1415
470	1257	1412
471	1260	1409
472	1264	1408
473	1266	1405
474	1268	1402
475	1271	1400
476	1274	1397
477	1276	1394
478	1280	1392
479	1283	1390
480	1286	1387
481	1289	1385
482	1292	1383
483	1296	1382
484	1299	1380
485	1302	1377
486	1306	1376
487	1309	1374
488	1313	1372
489	1315	1369
490	1318	1366
491	1320	1363
492	1323	1361
493	1326	1358
494	1329	1355
495	1331	1353
496	1334	1350
497	1336	1347
498	1339	1345
499	1342	1342
500	1346	1340
501	1348	1337
502	1350	1334
503	1353	1332
504	1356	1329
505	1358	1326
506	1361	1324
507	1364	1321
508	1366	1318
509	1368	1315
510	1371	1312
511	1374	1309
512	1376	1307
513	1380	1304
514	1382	1302
515	1385	1299
516	1387	1296
517	1390	1293
518	1392	1290
519	1395	1287
520	1397	1284
521	1400	1282
522	1403	1279
523	1405	1276
524	1407	1273
525	1410	1271
526	1413	1268
527	1416	1265
528	1418	1263
529	1421	1260
530	1423	1257
531	1426	1254
532	1428	1251
533	1431	1248
534	1434	1246
535	1436	1243
536	1438	1240
537	1441	1237
538	1443	1234
539	1446	1232
540	1449	1229
541	1452	1227
542	1455	1224
543	1458	1222
544	1460	1219
545	1463	1216
546	1465	1213
547	1468	1211
548	1471	1208
549	1473	1205
550	1476	1202
551	1478	1199
552	1480	1196
553	1483	1194
554	1486	1191
555	1488	1188
556	1491	1186
557	1494	1183
558	1496	1180
559	1498	1177
560	1501	1175
561	1503	1172
562	1506	1169
563	1508	1166
564	1511	1163
565	1513	1160
566	1516	1158
567	1519	1155
568	1521	1152
569	1523	1149
570	1526	1146
571	1528	1144
572	1531	1141
573	1533	1138
574	1536	1135
575	1538	1132
576	1541	1129
577	1543	1127
578	1546	1124
579	1549	1121
580	1551	1119
